========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.565657
Run 2: 0.585859
Run 3: 0.575758
Run 4: 0.575758
Run 5: 0.575758
Run 6: 0.565657
Run 7: 0.525253
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.565657
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.555556
Run 15: 0.565657
Run 16: 0.565657
Run 17: 0.565657
Run 18: 0.575758
Run 19: 0.575758
Run 20: 0.575758
Run 21: 0.575758
Run 22: 0.565657
Run 23: 0.555556
Run 24: 0.575758
Run 25: 0.565657
Run 26: 0.555556
Run 27: 0.585859
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.565657
Run 31: 0.585859
Run 32: 0.565657
Run 33: 0.585859
Run 34: 0.565657
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.575758
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.555556
Run 42: 0.555556
Run 43: 0.585859
Run 44: 0.565657
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.575758
Run 48: 0.575758
Run 49: 0.555556
Run 50: 0.565657

Average p_c: 0.568889
Standard deviation: 0.010774

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.7900 | 0.6837 | 0.4939
  2 | 0.7300 | 0.6505 | 0.4610
  3 | 0.7200 | 0.6578 | 0.5529
  4 | 0.7600 | 0.6595 | 0.4682
  5 | 0.7700 | 0.6667 | 0.4963
  6 | 0.8200 | 0.7021 | 0.4573
  7 | 0.7400 | 0.7620 | 0.5627
  8 | 0.7800 | 0.6601 | 0.4512
  9 | 0.7500 | 0.6563 | 0.4443
 10 | 0.7800 | 0.6860 | 0.4662
 11 | 0.7800 | 0.6573 | 0.4814
 12 | 0.7400 | 0.6778 | 0.4642
 13 | 0.8700 | 0.6780 | 0.4074
 14 | 0.8100 | 0.7133 | 0.4996
 15 | 0.7800 | 0.7126 | 0.5462
 16 | 0.7600 | 0.6740 | 0.4559
 17 | 0.7800 | 0.7292 | 0.5454
 18 | 0.8000 | 0.6751 | 0.4639
 19 | 0.8200 | 0.6609 | 0.4207
 20 | 0.7700 | 0.6687 | 0.4605
 21 | 0.7100 | 0.6662 | 0.5001
 22 | 0.8300 | 0.6923 | 0.4921
 23 | 0.9300 | 0.7306 | 0.4057
 24 | 0.8500 | 0.7043 | 0.4236
 25 | 0.8100 | 0.7006 | 0.4548
 26 | 0.8200 | 0.7264 | 0.5594
 27 | 0.7300 | 0.6152 | 0.4485
 28 | 0.8300 | 0.7008 | 0.4577
 29 | 0.8100 | 0.7129 | 0.4782
 30 | 0.8000 | 0.7033 | 0.4500
 31 | 0.8500 | 0.7016 | 0.4190
 32 | 0.8100 | 0.6719 | 0.4349
 33 | 0.7900 | 0.6284 | 0.3616
 34 | 0.7700 | 0.6835 | 0.5439
 35 | 0.8200 | 0.6881 | 0.3969
 36 | 0.8100 | 0.6933 | 0.4636
 37 | 0.8000 | 0.7392 | 0.5097
 38 | 0.7800 | 0.6676 | 0.4524
 39 | 0.7900 | 0.6727 | 0.4931
 40 | 0.7700 | 0.6669 | 0.4580
 41 | 0.7400 | 0.7233 | 0.5464
 42 | 0.8300 | 0.6963 | 0.5238
 43 | 0.8000 | 0.6809 | 0.4713
 44 | 0.8200 | 0.6948 | 0.4634
 45 | 0.8600 | 0.7503 | 0.5124
 46 | 0.8200 | 0.6644 | 0.4486
 47 | 0.8400 | 0.6851 | 0.4548
 48 | 0.8000 | 0.6827 | 0.4861
 49 | 0.7500 | 0.6990 | 0.5110
 50 | 0.8200 | 0.6961 | 0.4724

Summary Statistics:
Accuracy: 0.7948 ± 0.0415
Avg Perc: 0.6874 ± 0.0286
Avg Non-Perc: 0.4739 ± 0.0437
==================================================

System: 3^3, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.7300 | 0.7643 | 0.5129
  2 | 0.8000 | 0.6871 | 0.3852
  3 | 0.7800 | 0.7532 | 0.4044
  4 | 0.7200 | 0.7188 | 0.4565
  5 | 0.7800 | 0.7268 | 0.4117
  6 | 0.7900 | 0.7490 | 0.4829
  7 | 0.6700 | 0.9190 | 0.8133
  8 | 0.8200 | 0.7230 | 0.4464
  9 | 0.8100 | 0.7296 | 0.4283
 10 | 0.8000 | 0.7614 | 0.4945
 11 | 0.7800 | 0.7313 | 0.4295
 12 | 0.7800 | 0.8400 | 0.5701
 13 | 0.8300 | 0.7606 | 0.3628
 14 | 0.7400 | 0.8126 | 0.5626
 15 | 0.8500 | 0.8138 | 0.4721
 16 | 0.7800 | 0.7996 | 0.5108
 17 | 0.7600 | 0.7899 | 0.5371
 18 | 0.7700 | 0.7234 | 0.4531
 19 | 0.8400 | 0.7208 | 0.3726
 20 | 0.7400 | 0.7551 | 0.4334
 21 | 0.7700 | 0.7489 | 0.4561
 22 | 0.8200 | 0.7834 | 0.4112
 23 | 0.7700 | 0.7804 | 0.5695
 24 | 0.7800 | 0.7588 | 0.4900
 25 | 0.7300 | 0.7886 | 0.5372
 26 | 0.8200 | 0.8003 | 0.5214
 27 | 0.8200 | 0.7145 | 0.3790
 28 | 0.7900 | 0.7585 | 0.4245
 29 | 0.7900 | 0.8086 | 0.4792
 30 | 0.8100 | 0.7869 | 0.5039
 31 | 0.7700 | 0.7174 | 0.3986
 32 | 0.7800 | 0.7686 | 0.4844
 33 | 0.7600 | 0.6025 | 0.3122
 34 | 0.8800 | 0.7817 | 0.3800
 35 | 0.8000 | 0.7621 | 0.4307
 36 | 0.8000 | 0.7585 | 0.4632
 37 | 0.7700 | 0.8499 | 0.6213
 38 | 0.8400 | 0.7573 | 0.4269
 39 | 0.7600 | 0.7344 | 0.4733
 40 | 0.7400 | 0.6946 | 0.4347
