========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.555556
Run 3: 0.585859
Run 4: 0.585859
Run 5: 0.555556
Run 6: 0.565657
Run 7: 0.575758
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.575758
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.565657
Run 15: 0.575758
Run 16: 0.555556
Run 17: 0.545455
Run 18: 0.555556
Run 19: 0.575758
Run 20: 0.535354
Run 21: 0.525253
Run 22: 0.606061
Run 23: 0.555556
Run 24: 0.565657
Run 25: 0.575758
Run 26: 0.575758
Run 27: 0.555556
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.555556
Run 31: 0.555556
Run 32: 0.565657
Run 33: 0.555556
Run 34: 0.585859
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.585859
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.505051
Run 42: 0.575758
Run 43: 0.565657
Run 44: 0.555556
Run 45: 0.585859
Run 46: 0.565657
Run 47: 0.555556
Run 48: 0.575758
Run 49: 0.545455
Run 50: 0.555556

Average p_c: 0.565051
Standard deviation: 0.016463

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.7200 | 0.6401 | 0.4865
  2 | 0.8200 | 0.7269 | 0.4938
  3 | 0.8800 | 0.6657 | 0.3923
  4 | 0.8200 | 0.6525 | 0.4291
  5 | 0.8000 | 0.7253 | 0.5035
  6 | 0.7000 | 0.6842 | 0.5100
  7 | 0.7500 | 0.6690 | 0.5202
  8 | 0.7700 | 0.6820 | 0.4578
  9 | 0.8100 | 0.6424 | 0.4654
 10 | 0.8200 | 0.6827 | 0.4461
 11 | 0.8000 | 0.7239 | 0.5084
 12 | 0.7000 | 0.6584 | 0.4625
 13 | 0.7700 | 0.6731 | 0.4623
 14 | 0.8100 | 0.6932 | 0.4679
 15 | 0.8100 | 0.7087 | 0.4773
 16 | 0.8100 | 0.7104 | 0.5061
 17 | 0.8000 | 0.7247 | 0.5290
 18 | 0.8200 | 0.7248 | 0.5383
 19 | 0.8000 | 0.6571 | 0.4540
 20 | 0.7600 | 0.7279 | 0.5421
 21 | 0.8100 | 0.7719 | 0.5786
 22 | 0.7600 | 0.6056 | 0.4222
 23 | 0.8800 | 0.7210 | 0.4050
 24 | 0.8100 | 0.6902 | 0.5111
 25 | 0.7600 | 0.6677 | 0.4576
 26 | 0.8200 | 0.6980 | 0.4306
 27 | 0.7600 | 0.6673 | 0.5003
 28 | 0.8100 | 0.6970 | 0.4577
 29 | 0.7800 | 0.6926 | 0.4596
 30 | 0.7200 | 0.7023 | 0.5265
 31 | 0.8000 | 0.7021 | 0.4795
 32 | 0.8500 | 0.6898 | 0.4396
 33 | 0.8100 | 0.7147 | 0.4950
 34 | 0.8300 | 0.6320 | 0.3652
 35 | 0.8100 | 0.6869 | 0.4619
 36 | 0.8300 | 0.7012 | 0.5165
 37 | 0.7800 | 0.7366 | 0.5147
 38 | 0.7600 | 0.6327 | 0.3990
 39 | 0.7700 | 0.6591 | 0.4999
 40 | 0.7700 | 0.6855 | 0.4792
 41 | 0.7100 | 0.8207 | 0.6403
 42 | 0.7000 | 0.6414 | 0.5108
 43 | 0.8100 | 0.6956 | 0.4540
 44 | 0.8300 | 0.7146 | 0.4953
 45 | 0.8600 | 0.6501 | 0.3771
 46 | 0.7800 | 0.6906 | 0.4883
 47 | 0.8200 | 0.7091 | 0.4349
 48 | 0.7800 | 0.6665 | 0.4452
 49 | 0.7000 | 0.7043 | 0.5618
 50 | 0.8000 | 0.6992 | 0.5297

Summary Statistics:
Accuracy: 0.7896 ± 0.0439
Avg Perc: 0.6904 ± 0.0368
Avg Non-Perc: 0.4798 ± 0.0509
==================================================

System: 3^3, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.7400 | 0.6517 | 0.3528
  2 | 0.7500 | 0.8209 | 0.5900
  3 | 0.8000 | 0.6887 | 0.2924
  4 | 0.8300 | 0.7106 | 0.3436
  5 | 0.7100 | 0.7986 | 0.5520
  6 | 0.7100 | 0.7466 | 0.5023
  7 | 0.8200 | 0.7097 | 0.3579
  8 | 0.7800 | 0.7364 | 0.4524
  9 | 0.8000 | 0.6915 | 0.3394
 10 | 0.8200 | 0.7082 | 0.4080
 11 | 0.7800 | 0.7532 | 0.4718
 12 | 0.7700 | 0.7900 | 0.5380
 13 | 0.7900 | 0.6943 | 0.3923
 14 | 0.7800 | 0.7860 | 0.4800
 15 | 0.7500 | 0.7074 | 0.4495
 16 | 0.8200 | 0.8199 | 0.5540
 17 | 0.7800 | 0.8833 | 0.6542
 18 | 0.7400 | 0.7791 | 0.5912
 19 | 0.8400 | 0.7068 | 0.3477
 20 | 0.8400 | 0.8402 | 0.6092
 21 | 0.6800 | 0.9221 | 0.8002
 22 | 0.6700 | 0.4968 | 0.2300
 23 | 0.8400 | 0.8663 | 0.5695
 24 | 0.8000 | 0.8083 | 0.5505
 25 | 0.8200 | 0.7067 | 0.4029
 26 | 0.8500 | 0.7954 | 0.4064
 27 | 0.8000 | 0.8067 | 0.5445
 28 | 0.8900 | 0.7947 | 0.4956
 29 | 0.8500 | 0.8071 | 0.4155
 30 | 0.7800 | 0.8318 | 0.5369
 31 | 0.7500 | 0.8258 | 0.5317
 32 | 0.7800 | 0.8032 | 0.4624
 33 | 0.7900 | 0.8276 | 0.5777
 34 | 0.8100 | 0.6618 | 0.2278
 35 | 0.8400 | 0.7580 | 0.3744
 36 | 0.7400 | 0.6987 | 0.5143
 37 | 0.7900 | 0.7756 | 0.4792
 38 | 0.7900 | 0.6896 | 0.3667
 39 | 0.8200 | 0.7920 | 0.4990
 40 | 0.8600 | 0.7767 | 0.4024
 41 | 0.7600 | 0.9531 | 0.8946
 42 | 0.8300 | 0.7242 | 0.3617
 43 | 0.8000 | 0.7551 | 0.4530
 44 | 0.7600 | 0.8348 | 0.5501
 45 | 0.7000 | 0.5515 | 0.3182
 46 | 0.7200 | 0.7058 | 0.5260
 47 | 0.8000 | 0.7721 | 0.4553
 48 | 0.8300 | 0.7173 | 0.3433
 49 | 0.7500 | 0.8351 | 0.5724
 50 | 0.8400 | 0.8112 | 0.5160

Summary Statistics:
Accuracy: 0.7878 ± 0.0477
Avg Perc: 0.7626 ± 0.0809
Avg Non-Perc: 0.4731 ± 0.1248
==================================================

System: 3^4, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8100 | 0.6840 | 0.0554
  2 | 0.8400 | 0.9418 | 0.5630
  3 | 0.8600 | 0.7257 | 0.0755
  4 | 0.8500 | 0.8117 | 0.1973
  5 | 0.8500 | 0.9428 | 0.4814
  6 | 0.8500 | 0.8710 | 0.3158
  7 | 0.8500 | 0.7893 | 0.1363
  8 | 0.8900 | 0.8336 | 0.2007
  9 | 0.7700 | 0.7247 | 0.2193
 10 | 0.8700 | 0.8385 | 0.2074
 11 | 0.8900 | 0.8680 | 0.2510
 12 | 0.8400 | 0.8926 | 0.4583
 13 | 0.8400 | 0.7896 | 0.1625
 14 | 0.9100 | 0.9453 | 0.3347
 15 | 0.8700 | 0.7693 | 0.1591
 16 | 0.8500 | 0.9578 | 0.4861
 17 | 0.8200 | 0.9749 | 0.7059
 18 | 0.8100 | 0.9361 | 0.4951
 19 | 0.8100 | 0.7448 | 0.1124
 20 | 0.7300 | 0.9453 | 0.7216
 21 | 0.6500 | 0.9856 | 0.9540
 22 | 0.6600 | 0.4442 | 0.0359
 23 | 0.7000 | 0.9404 | 0.6368
 24 | 0.8000 | 0.8739 | 0.3385
 25 | 0.8200 | 0.7694 | 0.2157
 26 | 0.8900 | 0.8910 | 0.2704
 27 | 0.8200 | 0.8945 | 0.4578
 28 | 0.8200 | 0.9315 | 0.4721
 29 | 0.8300 | 0.8618 | 0.3337
 30 | 0.8300 | 0.9141 | 0.4103
 31 | 0.7900 | 0.9280 | 0.5037
 32 | 0.8400 | 0.9167 | 0.4598
 33 | 0.8700 | 0.9533 | 0.5140
 34 | 0.7900 | 0.6289 | 0.0293
 35 | 0.7900 | 0.7426 | 0.2302
 36 | 0.8600 | 0.8602 | 0.2643
 37 | 0.8100 | 0.8978 | 0.3967
 38 | 0.8200 | 0.7611 | 0.1449
 39 | 0.8700 | 0.9060 | 0.3979
 40 | 0.9100 | 0.8494 | 0.1723
 41 | 0.6500 | 0.9893 | 0.9815
 42 | 0.8900 | 0.7990 | 0.1519
 43 | 0.8500 | 0.8646 | 0.3245
 44 | 0.8500 | 0.9567 | 0.4351
 45 | 0.6800 | 0.5945 | 0.0451
 46 | 0.8400 | 0.8734 | 0.4180
 47 | 0.8500 | 0.9024 | 0.3241
 48 | 0.8500 | 0.7751 | 0.1635
 49 | 0.8300 | 0.9381 | 0.5022
 50 | 0.8500 | 0.9048 | 0.3983

Summary Statistics:
Accuracy: 0.8224 ± 0.0619
Avg Perc: 0.8507 ± 0.1081
Avg Non-Perc: 0.3464 ± 0.2135
==================================================

System: 3^5, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8300 | 0.7285 | 0.0073
  2 | 0.7700 | 0.9826 | 0.5615
  3 | 0.8200 | 0.7424 | 0.0297
  4 | 0.8800 | 0.8618 | 0.0981
  5 | 0.8600 | 0.9851 | 0.3837
  6 | 0.9100 | 0.9850 | 0.2784
  7 | 0.8900 | 0.8685 | 0.0690
  8 | 0.9500 | 0.9423 | 0.1001
  9 | 0.9300 | 0.8798 | 0.0580
 10 | 0.9500 | 0.8921 | 0.0711
 11 | 0.8800 | 0.9550 | 0.2624
 12 | 0.8500 | 0.9638 | 0.4033
 13 | 0.9700 | 0.9336 | 0.0222
 14 | 0.9300 | 0.9866 | 0.1883
 15 | 0.9300 | 0.8980 | 0.0388
 16 | 0.7700 | 0.9894 | 0.5578
 17 | 0.7100 | 0.9935 | 0.7053
 18 | 0.7700 | 0.9845 | 0.5342
 19 | 0.8800 | 0.8076 | 0.0305
 20 | 0.6300 | 0.9845 | 0.8483
 21 | 0.5300 | 0.9913 | 0.9880
 22 | 0.6300 | 0.4309 | 0.0007
 23 | 0.7900 | 0.9917 | 0.5549
 24 | 0.9200 | 0.9818 | 0.2729
 25 | 0.9400 | 0.9162 | 0.0942
 26 | 0.9400 | 0.9262 | 0.0724
 27 | 0.9200 | 0.9761 | 0.2265
 28 | 0.9100 | 0.9753 | 0.3164
 29 | 0.9400 | 0.9735 | 0.1176
 30 | 0.8300 | 0.9874 | 0.3867
 31 | 0.8700 | 0.9827 | 0.3766
 32 | 0.8900 | 0.9767 | 0.2737
