========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.626263
Run 3: 0.555556
Run 4: 0.606061
Run 5: 0.595960
Run 6: 0.545455
Run 7: 0.595960
Run 8: 0.595960
Run 9: 0.565657
Run 10: 0.595960
Run 11: 0.555556
Run 12: 0.565657
Run 13: 0.565657
Run 14: 0.585859
Run 15: 0.555556
Run 16: 0.555556
Run 17: 0.555556
Run 18: 0.565657
Run 19: 0.555556
Run 20: 0.585859
Run 21: 0.646465
Run 22: 0.585859
Run 23: 0.585859
Run 24: 0.535354
Run 25: 0.626263
Run 26: 0.565657
Run 27: 0.545455
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.575758
Run 31: 0.585859
Run 32: 0.595960
Run 33: 0.545455
Run 34: 0.646465
Run 35: 0.555556
Run 36: 0.555556
Run 37: 0.565657
Run 38: 0.585859
Run 39: 0.545455
Run 40: 0.565657
Run 41: 0.545455
Run 42: 0.555556
Run 43: 0.535354
Run 44: 0.585859
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.555556
Run 48: 0.585859
Run 49: 0.515152
Run 50: 0.575758

Average p_c: 0.573131
Standard deviation: 0.026480

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9500 | 0.8558 | 0.0967
  2 | 0.9300 | 0.7606 | 0.0443
  3 | 0.9700 | 0.8694 | 0.0785
  4 | 0.9000 | 0.7419 | 0.0690
  5 | 0.9100 | 0.8180 | 0.1060
  6 | 0.9700 | 0.8998 | 0.1201
  7 | 0.8900 | 0.7708 | 0.0889
  8 | 0.9200 | 0.8097 | 0.1035
  9 | 0.9800 | 0.8721 | 0.0835
 10 | 0.9400 | 0.8326 | 0.0895
 11 | 0.9600 | 0.8943 | 0.1141
 12 | 0.9200 | 0.7866 | 0.0943
 13 | 0.9200 | 0.8577 | 0.1429
 14 | 0.9300 | 0.8021 | 0.0746
 15 | 0.9400 | 0.8743 | 0.0977
 16 | 0.9200 | 0.8387 | 0.1487
 17 | 0.9000 | 0.8077 | 0.1012
 18 | 0.9500 | 0.8584 | 0.0891
 19 | 0.9000 | 0.8043 | 0.1240
 20 | 0.9500 | 0.7808 | 0.1073
 21 | 0.9000 | 0.7269 | 0.0563
 22 | 0.9200 | 0.8246 | 0.1019
 23 | 0.9700 | 0.8686 | 0.0937
 24 | 0.9400 | 0.8886 | 0.1467
 25 | 0.9100 | 0.7776 | 0.0866
 26 | 0.9400 | 0.7871 | 0.0972
 27 | 0.9300 | 0.8389 | 0.1402
 28 | 0.8800 | 0.7410 | 0.0921
 29 | 0.9400 | 0.8487 | 0.0833
 30 | 0.8700 | 0.7927 | 0.1175
 31 | 0.9600 | 0.8598 | 0.0923
 32 | 0.9500 | 0.8093 | 0.0738
 33 | 0.9500 | 0.9096 | 0.1089
 34 | 0.8800 | 0.7178 | 0.0620
 35 | 0.9400 | 0.8831 | 0.0755
 36 | 0.9100 | 0.8361 | 0.1359
 37 | 0.9300 | 0.8521 | 0.1178
 38 | 0.9200 | 0.8141 | 0.1118
 39 | 0.9300 | 0.8368 | 0.0991
 40 | 0.8800 | 0.8111 | 0.1414
 41 | 0.8800 | 0.7558 | 0.1349
 42 | 0.9600 | 0.8694 | 0.1022
 43 | 0.9400 | 0.8570 | 0.1121
 44 | 0.9700 | 0.8332 | 0.0996
 45 | 0.9400 | 0.8379 | 0.0814
